Keyword,Avg Monthly Searches,Competition,Competition Index,Low Top of Page Bid (₹),High Top of Page Bid (₹),In Account,Account Names
bi developer courses,40,MEDIUM,64,255.53,1027.32,No,
power bi azure devops,40,LOW,12,267.03,440.23,No,
power bi project dashboard,40,LOW,27,88.16,529.89,No,
microsoft power b,40,MEDIUM,40,181.11,797.08,No,
power bi course and certification,40,HIGH,93,278.84,804.25,Yes,Bouquet INR - 2
windows power bi,40,LOW,11,114.95,482.37,No,
powerpoint bi,40,MEDIUM,36,184.70,1238.15,No,
power bi administration training,40,HIGH,82,209.80,922.60,Yes,Bouquet INR - 2
power bi course coursera,40,LOW,2,,,No,
power bi analysis services,40,LOW,26,278.84,2476.41,No,
microsoft power bi certification pl 300,40,MEDIUM,48,285.97,598.93,No,
best power query course,40,HIGH,86,183.80,664.33,No,
teams power bi,40,LOW,10,,,No,
data analyst associate certification,40,MEDIUM,58,214.29,681.42,No,
pl 300 power bi certification,40,HIGH,75,185.62,697.55,No,
pl 300 exam prep,40,HIGH,74,226.84,697.09,No,
learning dax for power bi,40,MEDIUM,65,117.45,585.40,No,
analysis services power bi,40,LOW,26,278.84,2476.41,No,
power bi data camp,40,LOW,30,160.02,381.95,No,
pl 300 power bi data analyst,40,HIGH,78,246.88,803.20,No,
microsoft power bi certification exam,40,LOW,32,201.74,702.93,No,
use of power bi,40,LOW,29,114.86,453.68,No,
microsoft business analyst course,40,MEDIUM,37,210.70,984.47,No,
microsoft pl 300 course,40,MEDIUM,56,221.46,681.42,No,
best microsoft power bi certification,40,LOW,0,,,No,
bi tool training,40,MEDIUM,48,345.19,1494.25,No,
best power bi training online,40,HIGH,100,,,No,
microsoft power bi course online,40,LOW,0,,,Yes,Bouquet INR - 2
pl300 power bi certification,40,HIGH,75,185.62,697.55,No,
power bi docs,40,LOW,1,,,No,
power bi ipad,40,LOW,2,,,No,
dax language course,40,HIGH,70,189.18,532.58,No,
supercharge power bi,40,MEDIUM,36,,,No,
pl 300 training,30,HIGH,77,294.08,597.95,No,
power bi developer course,30,HIGH,79,133.59,716.38,No,
in person power bi training,30,HIGH,87,247.46,1111.78,No,
simplilearn power bi,30,MEDIUM,65,201.08,469.82,No,
power bi in person training,30,HIGH,86,279.76,1399.59,No,
microsoft bi course,30,HIGH,73,349.67,909.15,No,
sql and power bi certification,30,MEDIUM,57,271.67,867.01,No,
pluralsight power bi,30,MEDIUM,41,245.67,586.38,No,
google power bi certification,30,MEDIUM,55,146.15,777.35,No,
learn power bi online,30,HIGH,86,166.61,555.41,No,
power bi course microsoft,30,MEDIUM,48,323.67,756.73,Yes,Bouquet INR - 2
power bi business central,30,MEDIUM,42,572.42,5197.59,No,
best free power bi courses,30,HIGH,75,133.59,436.64,No,
office power bi,30,LOW,19,248.36,917.22,No,
data analyst microsoft certification,30,HIGH,68,245.67,838.32,No,
power bi cloud service,30,LOW,29,382.85,1716.09,No,
excel power bi course,30,HIGH,74,181.11,812.32,Yes,Bouquet INR - 2
power bi basic training,30,MEDIUM,65,181.44,631.21,Yes,Bouquet INR - 2
power bi dashboard training,30,HIGH,78,222.04,598.03,No,
azure cost management power bi,30,MEDIUM,41,488.65,2923.81,No,
bi developer certification,30,MEDIUM,65,239.39,806.60,No,
microsoft business intelligence course,30,HIGH,73,349.67,909.15,Yes,Bouquet INR - 2
best online power bi course,30,LOW,5,212.02,971.95,No,
power bi introduction course,30,HIGH,74,179.45,631.21,Yes,Bouquet INR - 2
udemy power bi certification,30,MEDIUM,56,70.83,461.75,No,
excel power bi training,30,HIGH,74,181.11,812.32,No,
introducing microsoft power bi,30,LOW,28,142.56,457.27,No,
power bi statistical analysis,30,MEDIUM,46,283.33,988.95,No,
bi certification courses,30,HIGH,90,558.58,1292.00,No,
power bi devops,30,LOW,14,,,No,
microsoft bi classes,30,HIGH,73,349.67,909.15,No,
microsoft power bi training and certification,30,HIGH,76,260.91,862.53,Yes,Bouquet INR - 2
bi expert,30,LOW,12,680.52,2056.80,No,
appsource power bi,30,LOW,23,534.37,8786.68,No,
power bi data analyst associate pl 300,30,MEDIUM,63,169.87,593.55,No,
microsoft data analyst associate,30,MEDIUM,53,339.81,880.46,No,
bi classes,30,LOW,30,272.05,1044.54,No,
avi singh power bi,30,LOW,16,,,No,
power bi analysis,30,LOW,33,263.60,1118.06,Yes,Bouquet INR - 2
simplilearn power bi course,30,LOW,1,,,No,
free microsoft power bi training,30,MEDIUM,49,90.75,494.92,No,
measureup pl 300,30,MEDIUM,61,198.98,732.18,No,
sentiment analysis power bi,30,LOW,17,212.49,675.14,No,
power bi big data,30,LOW,9,,,No,
pl300 training,30,HIGH,77,294.08,597.95,No,
microsoft power bi certification online,30,LOW,0,,,Yes,Bouquet INR - 2
power bi 300 certification,30,MEDIUM,51,152.80,646.45,No,
microsoft power bi pl 300 certification,30,MEDIUM,58,312.89,596.60,No,
coursera microsoft power bi,30,MEDIUM,39,205.31,1019.51,No,
youtube power bi training,30,MEDIUM,36,155.11,572.03,No,
power bi apple,30,LOW,4,,,No,
power bi pl 300 exam,30,MEDIUM,52,186.98,516.44,No,
pl300 exam preparation,30,HIGH,69,99.17,576.27,No,
sales dashboard in power bi,30,MEDIUM,51,,,No,
ms learn power bi,30,LOW,29,224.15,627.62,No,
power bi 32 bits,30,LOW,0,,,No,
power bi data analyst course,20,MEDIUM,48,227.97,817.70,No,
power bi instructor led training,20,MEDIUM,64,335.33,1126.13,No,
power bi udemy course,20,MEDIUM,34,32.53,289.60,No,
power bi training certification,20,HIGH,68,260.01,608.79,Yes,Bouquet INR - 2
power bi free certification course,20,MEDIUM,52,66.67,431.26,No,
learn power bi microsoft,20,MEDIUM,61,274.36,559.48,No,
best power bi course on udemy,20,LOW,27,59.44,494.03,No,
ms power bi training,20,HIGH,81,187.39,641.07,No,
power bi certification udemy,20,MEDIUM,52,20.12,297.32,No,
learn power bi from scratch,20,LOW,26,,,No,
excel and power bi course,20,HIGH,86,320.98,1057.09,No,
bi power training,20,HIGH,80,286.42,785.42,No,
best course for power bi,20,HIGH,83,195.71,950.40,No,
